Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(60916k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.453: [GC (Allocation Failure) 0.453: [DefNew: 27328K->2533K(30720K), 0.0093222 secs] 27328K->2533K(99008K), 0.0093992 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.664: [GC (Allocation Failure) 0.664: [DefNew: 29861K->1082K(30720K), 0.0077485 secs] 29861K->2771K(99008K), 0.0078233 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.769: [GC (Allocation Failure) 0.769: [DefNew: 28410K->1585K(30720K), 0.0036344 secs] 30099K->3274K(99008K), 0.0036876 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.886: [GC (Allocation Failure) 0.886: [DefNew: 28913K->2324K(30720K), 0.0044407 secs] 30602K->4014K(99008K), 0.0045122 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.983: [GC (Allocation Failure) 0.983: [DefNew: 29652K->1369K(30720K), 0.0047194 secs] 31342K->3884K(99008K), 0.0047910 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.988: [GC (GCLocker Initiated GC) 0.988: [DefNew: 1369K->1369K(30720K), 0.0023165 secs] 3884K->3884K(99008K), 0.0023580 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.079: [GC (Allocation Failure) 1.079: [DefNew: 28697K->1942K(30720K), 0.0058202 secs] 31212K->4457K(99008K), 0.0058899 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.150: [GC (Allocation Failure) 1.150: [DefNew: 29270K->2031K(30720K), 0.0043131 secs] 31785K->5031K(99008K), 0.0043766 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.262: [GC (Allocation Failure) 1.262: [DefNew: 29359K->1799K(30720K), 0.0046193 secs] 32359K->5581K(99008K), 0.0046828 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.353: [GC (Allocation Failure) 1.353: [DefNew: 29127K->1985K(30720K), 0.0036780 secs] 32909K->5962K(99008K), 0.0037668 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.445: [GC (Allocation Failure) 1.445: [DefNew: 29313K->2137K(30720K), 0.0053866 secs] 33290K->6408K(99008K), 0.0054521 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.484: [Full GC (Metadata GC Threshold) 1.484: [Tenured: 4271K->5571K(68288K), 0.0203941 secs] 32745K->5571K(99008K), [Metaspace: 20472K->20472K(1067008K)], 0.0204613 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
1.646: [GC (Allocation Failure) 1.646: [DefNew: 27328K->1801K(30720K), 0.0061888 secs] 32899K->7372K(99008K), 0.0062674 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.833: [GC (Allocation Failure) 1.833: [DefNew: 29129K->2007K(30720K), 0.0080205 secs] 34700K->8457K(99008K), 0.0081455 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.000: [GC (Allocation Failure) 2.000: [DefNew: 29335K->1630K(30720K), 0.0063896 secs] 35785K->9362K(99008K), 0.0064605 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2.164: [GC (Allocation Failure) 2.164: [DefNew: 28958K->1536K(30720K), 0.0042758 secs] 36690K->9268K(99008K), 0.0043501 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.284: [GC (Allocation Failure) 2.284: [DefNew: 28864K->2354K(30720K), 0.0066177 secs] 36596K->10087K(99008K), 0.0067054 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.438: [GC (Allocation Failure) 2.438: [DefNew: 29682K->2337K(30720K), 0.0071621 secs] 37415K->10743K(99008K), 0.0072406 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.621: [GC (Allocation Failure) 2.622: [DefNew: 29665K->3392K(30720K), 0.0084128 secs] 38071K->14496K(99008K), 0.0084790 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
