Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(58756k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
3.516: [GC (Allocation Failure) [PSYoungGen: 22048K->1056K(28160K)] 42863K->22223K(96768K), 0.0018900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.311: [GC (Metadata GC Threshold) [PSYoungGen: 18616K->3198K(27648K)] 39784K->24365K(96256K), 0.0043611 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8.316: [Full GC (Metadata GC Threshold) [PSYoungGen: 3198K->0K(27648K)] [ParOldGen: 21167K->17782K(68608K)] 24365K->17782K(96256K), [Metaspace: 33885K->33885K(1081344K)], 0.0605416 secs] [Times: user=0.18 sys=0.00, real=0.06 secs] 
8.464: [GC (Allocation Failure) [PSYoungGen: 22016K->5617K(25088K)] 39798K->24642K(93696K), 0.0057983 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
8.584: [GC (Allocation Failure) [PSYoungGen: 25073K->7154K(26624K)] 44098K->28174K(95232K), 0.0081818 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
8.816: [GC (Allocation Failure) [PSYoungGen: 26610K->320K(22528K)] 47630K->27946K(91136K), 0.0090134 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.017: [GC (Allocation Failure) [PSYoungGen: 15680K->224K(24576K)] 43306K->28066K(93184K), 0.0052129 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.191: [GC (Allocation Failure) [PSYoungGen: 15584K->288K(25088K)] 43426K->28234K(93696K), 0.0053528 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
9.381: [GC (Allocation Failure) [PSYoungGen: 16160K->928K(24576K)] 44106K->28962K(93184K), 0.0071520 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.554: [GC (Allocation Failure) [PSYoungGen: 16800K->448K(25600K)] 44834K->28683K(94208K), 0.0049488 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.754: [GC (Allocation Failure) [PSYoungGen: 17856K->384K(25600K)] 46091K->28875K(94208K), 0.0042407 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.934: [GC (Allocation Failure) [PSYoungGen: 17792K->448K(26624K)] 46283K->29259K(95232K), 0.0070081 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
10.138: [GC (Allocation Failure) [PSYoungGen: 19387K->672K(26112K)] 48198K->29635K(94720K), 0.0070783 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
10.330: [GC (Allocation Failure) [PSYoungGen: 19616K->768K(27136K)] 48579K->29987K(95744K), 0.0051954 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
10.512: [GC (Allocation Failure) [PSYoungGen: 20736K->608K(26624K)] 49955K->30099K(95232K), 0.0073294 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
10.739: [GC (Allocation Failure) [PSYoungGen: 20575K->608K(27648K)] 50067K->30428K(96256K), 0.0046140 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
10.953: [GC (Allocation Failure) [PSYoungGen: 22112K->480K(27648K)] 51932K->30692K(96256K), 0.0062483 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
11.157: [GC (Allocation Failure) [PSYoungGen: 21976K->576K(28160K)] 52189K->30988K(96768K), 0.0049440 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
11.387: [GC (Allocation Failure) [PSYoungGen: 23104K->416K(28160K)] 53516K->31285K(96768K), 0.0056012 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
11.592: [GC (Allocation Failure) [PSYoungGen: 22944K->544K(29184K)] 53813K->31525K(97792K), 0.0050107 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
11.814: [GC (Allocation Failure) [PSYoungGen: 24608K->928K(28672K)] 55589K->32157K(97280K), 0.0030512 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.037: [GC (Allocation Failure) [PSYoungGen: 24992K->800K(29696K)] 56221K->32173K(98304K), 0.0033975 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.244: [GC (Allocation Failure) [PSYoungGen: 25888K->352K(29184K)] 57261K->32278K(97792K), 0.0054444 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.464: [GC (Allocation Failure) [PSYoungGen: 25440K->1088K(30208K)] 57366K->33166K(98816K), 0.0052031 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.671: [GC (Allocation Failure) [PSYoungGen: 27200K->384K(29696K)] 59278K->33095K(98304K), 0.0057398 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
12.879: [GC (Allocation Failure) [PSYoungGen: 26496K->480K(30208K)] 59207K->33231K(98816K), 0.0038510 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.094: [GC (Allocation Failure) [PSYoungGen: 27104K->416K(30208K)] 59855K->33271K(98816K), 0.0038518 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.285: [GC (Allocation Failure) [PSYoungGen: 27040K->320K(30720K)] 59895K->33223K(99328K), 0.0035346 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.478: [GC (Allocation Failure) [PSYoungGen: 27968K->352K(30720K)] 60871K->33343K(99328K), 0.0046336 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
13.678: [GC (Allocation Failure) [PSYoungGen: 28000K->256K(30720K)] 60991K->33303K(99328K), 0.0053596 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
13.933: [GC (Allocation Failure) [PSYoungGen: 27898K->352K(30720K)] 60945K->33443K(99328K), 0.0054323 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
14.188: [GC (Allocation Failure) [PSYoungGen: 28000K->224K(31232K)] 61091K->33387K(99840K), 0.0089267 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
14.404: [GC (Allocation Failure) [PSYoungGen: 28896K->352K(31232K)] 62059K->33571K(99840K), 0.0040028 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.676: [GC (Allocation Failure) [PSYoungGen: 29024K->256K(31232K)] 62243K->33531K(99840K), 0.0054088 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.888: [GC (Allocation Failure) [PSYoungGen: 28927K->288K(31232K)] 62203K->33643K(99840K), 0.0033938 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.143: [GC (Allocation Failure) [PSYoungGen: 28960K->416K(31744K)] 62315K->33803K(100352K), 0.0037148 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.355: [GC (Allocation Failure) [PSYoungGen: 30112K->496K(31744K)] 63499K->33979K(100352K), 0.0054512 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
15.573: [GC (Allocation Failure) [PSYoungGen: 30192K->512K(31744K)] 63675K->34291K(100352K), 0.0041797 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
15.812: [GC (Allocation Failure) [PSYoungGen: 30208K->672K(31744K)] 63987K->34627K(100352K), 0.0049795 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.030: [GC (Allocation Failure) [PSYoungGen: 30368K->704K(31744K)] 64323K->35003K(100352K), 0.0083670 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.278: [GC (Allocation Failure) [PSYoungGen: 30400K->384K(31744K)] 64699K->35092K(100352K), 0.0049573 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
16.507: [GC (Allocation Failure) [PSYoungGen: 30080K->640K(32256K)] 64788K->35612K(100864K), 0.0058196 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
16.727: [GC (Allocation Failure) [PSYoungGen: 31357K->544K(32256K)] 66330K->35668K(100864K), 0.0035254 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.947: [GC (Allocation Failure) [PSYoungGen: 31264K->704K(32256K)] 66388K->36020K(100864K), 0.0043627 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
17.147: [GC (Allocation Failure) [PSYoungGen: 31416K->512K(32256K)] 66732K->36108K(100864K), 0.0063038 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
17.347: [GC (Allocation Failure) [PSYoungGen: 31232K->672K(32256K)] 66828K->36476K(100864K), 0.0047965 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.537: [GC (Allocation Failure) [PSYoungGen: 31392K->576K(32256K)] 67196K->36612K(100864K), 0.0041572 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.742: [GC (Allocation Failure) [PSYoungGen: 31296K->544K(32256K)] 67332K->36740K(100864K), 0.0055708 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
17.948: [GC (Allocation Failure) [PSYoungGen: 31264K->416K(32256K)] 67460K->36708K(100864K), 0.0041318 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
18.146: [GC (Allocation Failure) [PSYoungGen: 31136K->512K(32256K)] 67428K->36861K(100864K), 0.0075458 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
18.349: [GC (Allocation Failure) [PSYoungGen: 31232K->448K(32256K)] 67581K->36869K(100864K), 0.0051938 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
18.556: [GC (Allocation Failure) [PSYoungGen: 31168K->256K(32768K)] 67589K->36829K(101376K), 0.0027840 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
18.793: [GC (Allocation Failure) [PSYoungGen: 31996K->288K(32768K)] 68569K->36909K(101376K), 0.0053776 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
19.005: [GC (Allocation Failure) [PSYoungGen: 32026K->288K(32768K)] 68647K->36957K(101376K), 0.0039588 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
19.202: [GC (Allocation Failure) [PSYoungGen: 32032K->320K(32768K)] 68701K->37061K(101376K), 0.0046979 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
19.388: [GC (Allocation Failure) [PSYoungGen: 32064K->256K(32768K)] 68805K->37077K(101376K), 0.0029545 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
19.580: [GC (Allocation Failure) [PSYoungGen: 32000K->192K(32768K)] 68821K->37069K(101376K), 0.0046673 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
