Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(334608k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.643: [GC (Allocation Failure) 0.643: [DefNew: 81920K->4592K(92160K), 0.0087617 secs] 81920K->4592K(296960K), 0.0088511 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
0.890: [GC (Allocation Failure) 0.890: [DefNew: 86512K->5696K(92160K), 0.0102076 secs] 86512K->5696K(296960K), 0.0102742 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.115: [GC (Allocation Failure) 1.115: [DefNew: 87616K->5481K(92160K), 0.0102046 secs] 87616K->7800K(296960K), 0.0102752 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
1.238: [Full GC (Metadata GC Threshold) 1.238: [Tenured: 2318K->6877K(204800K), 0.0254255 secs] 61355K->6877K(296960K), [Metaspace: 20504K->20504K(1067008K)], 0.0255079 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
1.662: [GC (Allocation Failure) 1.662: [DefNew: 81920K->5031K(92160K), 0.0089765 secs] 88797K->11909K(296960K), 0.0090508 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.070: [GC (Allocation Failure) 2.070: [DefNew: 86951K->5623K(92160K), 0.0109815 secs] 93829K->12501K(296960K), 0.0110641 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.571: [GC (Allocation Failure) 2.571: [DefNew: 87543K->9337K(92160K), 0.0234945 secs] 94421K->18916K(296960K), 0.0235872 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2.934: [GC (Allocation Failure) 2.934: [DefNew: 91257K->2163K(92160K), 0.0245221 secs] 100836K->19295K(296960K), 0.0246950 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
3.629: [GC (Allocation Failure) 3.629: [DefNew: 84083K->4467K(92160K), 0.0160784 secs] 101215K->21599K(296960K), 0.0162633 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
4.978: [Full GC (Metadata GC Threshold) 4.978: [Tenured: 17132K->21900K(204800K), 0.0567808 secs] 91931K->21900K(296960K), [Metaspace: 33885K->33885K(1081344K)], 0.0568983 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
5.572: [GC (Allocation Failure) 5.572: [DefNew: 81920K->9617K(92160K), 0.0125216 secs] 103820K->31518K(296960K), 0.0126484 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
