Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(310536k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=6 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:OldSize=209715200 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.648: [GC (Allocation Failure) 0.648: [ParNew: 81920K->4908K(92160K), 0.0065773 secs] 81920K->4908K(296960K), 0.0066918 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.868: [GC (GCLocker Initiated GC) 0.868: [ParNew: 86828K->6777K(92160K), 0.0098937 secs] 86828K->6777K(296960K), 0.0099836 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.082: [GC (Allocation Failure) 1.082: [ParNew: 88697K->6586K(92160K), 0.0128315 secs] 88697K->9072K(296960K), 0.0129093 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
1.302: [GC (Allocation Failure) 1.302: [ParNew: 88506K->5427K(92160K), 0.0060336 secs] 90992K->9111K(296960K), 0.0061133 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.308: [GC (CMS Initial Mark) [1 CMS-initial-mark: 3683K(204800K)] 10046K(296960K), 0.0008767 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.309: [CMS-concurrent-mark-start]
1.318: [CMS-concurrent-mark: 0.009/0.009 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
1.318: [CMS-concurrent-preclean-start]
1.319: [CMS-concurrent-preclean: 0.001/0.001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.319: [CMS-concurrent-abortable-preclean-start]
1.622: [CMS-concurrent-abortable-preclean: 0.127/0.303 secs] [Times: user=1.13 sys=0.03, real=0.30 secs] 
1.622: [GC (CMS Final Remark) [YG occupancy: 56652 K (92160 K)]1.622: [Rescan (parallel) , 0.0068928 secs]1.629: [weak refs processing, 0.0000283 secs]1.629: [class unloading, 0.0035837 secs]1.632: [scrub symbol table, 0.0026562 secs]1.635: [scrub string table, 0.0002317 secs][1 CMS-remark: 3683K(204800K)] 60336K(296960K), 0.0140319 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
1.636: [CMS-concurrent-sweep-start]
1.638: [CMS-concurrent-sweep: 0.002/0.002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.638: [CMS-concurrent-reset-start]
1.638: [CMS-concurrent-reset: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.798: [GC (Allocation Failure) 1.799: [ParNew: 87347K->7127K(92160K), 0.0064247 secs] 91021K->10802K(296960K), 0.0065089 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.210: [GC (Allocation Failure) 2.210: [ParNew: 89047K->8710K(92160K), 0.0092680 secs] 92722K->14294K(296960K), 0.0093441 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2.672: [GC (Allocation Failure) 2.672: [ParNew: 90630K->10240K(92160K), 0.0142657 secs] 96214K->19945K(296960K), 0.0143636 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
3.051: [GC (Allocation Failure) 3.051: [ParNew: 92160K->9299K(92160K), 0.0107521 secs] 101865K->21831K(296960K), 0.0108745 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
6.174: [GC (Allocation Failure) 6.174: [ParNew: 91219K->7420K(92160K), 0.0165443 secs] 103751K->24705K(296960K), 0.0166558 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
6.195: [GC (GCLocker Initiated GC) 6.195: [ParNew: 14249K->5854K(92160K), 0.0041552 secs] 31534K->23139K(296960K), 0.0042484 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
6.747: [GC (Allocation Failure) 6.747: [ParNew: 87774K->10240K(92160K), 0.0156668 secs] 105059K->32186K(296960K), 0.0157879 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
7.590: [GC (Allocation Failure) 7.590: [ParNew: 92160K->8517K(92160K), 0.0114490 secs] 114106K->40440K(296960K), 0.0115647 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
8.380: [GC (Allocation Failure) 8.380: [ParNew: 90437K->2250K(92160K), 0.0047099 secs] 122360K->34173K(296960K), 0.0048136 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
9.141: [GC (Allocation Failure) 9.141: [ParNew: 84169K->847K(92160K), 0.0045336 secs] 116092K->32770K(296960K), 0.0046608 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.921: [GC (Allocation Failure) 9.921: [ParNew: 82767K->1438K(92160K), 0.0045038 secs] 114690K->33361K(296960K), 0.0046153 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.647: [GC (Allocation Failure) 10.647: [ParNew: 83358K->1390K(92160K), 0.0045550 secs] 115281K->33313K(296960K), 0.0046599 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
11.370: [GC (Allocation Failure) 11.370: [ParNew: 83310K->1787K(92160K), 0.0054470 secs] 115233K->33710K(296960K), 0.0055791 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
12.025: [GC (Allocation Failure) 12.025: [ParNew: 83707K->1878K(92160K), 0.0043476 secs] 115630K->33838K(296960K), 0.0150459 secs] [Times: user=0.07 sys=0.00, real=0.06 secs] 
12.701: [GC (Allocation Failure) 12.703: [ParNew: 83794K->1634K(92160K), 0.0045485 secs] 115754K->33611K(296960K), 0.0066926 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
13.336: [GC (Allocation Failure) 13.336: [ParNew: 83554K->1845K(92160K), 0.0027047 secs] 115531K->33942K(296960K), 0.0028292 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.909: [GC (Allocation Failure) 13.909: [ParNew: 83765K->1354K(92160K), 0.0052909 secs] 115862K->33543K(296960K), 0.0054013 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
